OBJECTID,BoroCode,BoroCT,BldgArea,ResArea,Res_pct,TotalPop,LowMod_Population,LoMod_pct,Eligibility,CT_text
1,1,1000100,"11,45,016",0,0,0,0,,Ineligible,1000100
2,1,1000201,"13,88,727.07","9,00,498",0.648434109,"2,775","2,615",0.942342342,CD Eligible,1000201
3,1,1000202,"37,56,530.28","27,17,159.48",0.723316273,"7,525","5,515",0.732890365,CD Eligible,1000202
4,1,1000500,"32,50,106.25",0,0,0,0,,Ineligible,1000500
5,1,1000600,"61,22,656.63","46,37,698.01",0.757464985,"12,360","10,870",0.879449838,CD Eligible,1000600
6,1,1000700,"2,83,64,312.67","75,47,662",0.266097123,"8,780","2,115",0.240888383,Ineligible,1000700
7,1,1000800,"42,52,351.44","25,87,781.45",0.608553053,"9,455","7,520",0.795346378,CD Eligible,1000800
8,1,1000900,"2,27,54,284.60","12,75,507",0.056055685,"1,625",325,0.2,Ineligible,1000900
9,1,1001001,"12,74,983.03","12,32,599.69",0.966757722,"1,530",545,0.35620915,Ineligible,1001001
10,1,1001002,"31,66,373.93","30,31,308.24",0.957343734,"5,575","5,225",0.937219731,CD Eligible,1001002
11,1,1001200,"22,66,445.68","17,38,952.56",0.767259756,"3,695","1,890",0.51150203,CD Eligible,1001200
12,1,1001300,"2,54,63,978","40,03,700",0.15722995,"4,375",880,0.201142857,Ineligible,1001300
13,1,1001401,"21,67,990","19,75,024",0.910993132,"3,115","1,025",0.32905297,Ineligible,1001401
14,1,1001402,"25,64,456.37","17,77,798.49",0.693245754,"2,925","2,120",0.724786325,CD Eligible,1001402
15,1,1001501,"1,06,33,944.66","50,33,957",0.473385668,"5,985","2,205",0.368421053,Ineligible,1001501
16,1,1001502,"1,59,41,736.52","54,80,708",0.343796173,"6,460","1,275",0.197368421,Ineligible,1001502
17,1,1001600,"38,14,899.94","17,29,266",0.453292623,"7,550","5,245",0.694701987,Ineligible,1001600
18,1,1001800,"50,88,349.70","25,27,540",0.496730797,"7,755","5,050",0.651192779,Ineligible,1001800
19,1,1002000,"18,04,920.22","16,62,281.88",0.920972496,"4,865","4,530",0.931140802,CD Eligible,1002000
20,1,1002100,"1,68,70,698","61,23,572",0.362970874,"6,570",595,0.090563166,Ineligible,1002100
21,1,1002201,"33,80,979.03","28,05,946.03",0.829921157,"6,755","5,150",0.762398224,CD Eligible,1002201
22,1,1002202,"13,00,548","10,86,043",0.83506568,"1,930",940,0.487046632,Ineligible,1002202
23,1,1002400,"14,61,857.71","14,54,946.63",0.995272399,"5,560","4,420",0.794964029,CD Eligible,1002400
24,1,1002500,"15,15,393.37","12,50,821.35",0.825410336,"5,035","4,655",0.924528302,CD Eligible,1002500
25,1,1002601,"18,58,022","13,83,560",0.744641344,"3,785","2,555",0.675033025,CD Eligible,1002601
26,1,1002602,"23,74,157","18,49,549",0.77903399,"4,250","2,110",0.496470588,Ineligible,1002602
27,1,1002700,"9,66,582","6,20,648",0.642105895,"1,330",640,0.481203008,Ineligible,1002700
28,1,1002800,"39,49,374.05","34,06,137.05",0.862449848,"7,070","5,195",0.734794908,CD Eligible,1002800
