,GEOID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,36123150400,0,0,1,0,0,0,0,0,1.18E-06,0,1.15E-06,0,0,0,3,13,0,0
1,36071011801,2.23E-12,3,11,1,3,1.01E-10,3.63E-07,5.50E-10,1.59E-06,2.23E-10,6.30E-07,2.04E-12,2,8,1,5,0,0
2,36005020200,0,1,0,0,0,0,0,0,3.93E-09,0,2.19E-08,0,0,0,1,0,0,0
3,36109001301,0,3,0,0,0,0,0,0,4.95E-08,0,1.06E-07,0,1,0,2,2,0,0
4,36059304002,0,0,3,0,1,0,1.37E-08,0,7.06E-08,0,1.88E-07,7.23E-12,0,0,2,4,0,0
5,36105952200,0,0,0,0,0,0,0,1.03E-11,7.45E-07,0,9.96E-07,0,0,0,0,1,0,0
6,36081045400,0,11,0,4,0,0,0,0,1.63E-08,0,6.92E-08,0,3,0,1,0,0,0
7,36119000602,0,0,0,1,1,0,0,0,7.88E-08,2.09E-13,3.30E-08,0,0,0,1,2,0,0
8,36047012700,0,11,1,1,0,0,0,0,1.26E-08,3.11E-12,2.27E-08,0,5,1,1,1,0,1
9,36047066600,0,0,1,0,0,0,2.09E-07,3.38E-11,4.54E-07,0,4.01E-08,0,0,0,0,3,0,0
10,36119007000,0,1,2,0,1,0,3.94E-08,0,1.67E-07,3.45E-12,2.42E-07,0,1,0,0,2,0,3
11,36055007900,0,0,0,0,0,0,0,0,3.74E-08,0,5.71E-08,0,0,0,2,1,0,0
12,36055013203,0,0,3,0,0,0,2.35E-08,8.70E-12,2.05E-07,8.61E-11,4.09E-07,0,0,1,0,8,0,0
13,36061013601,0,0,0,0,0,0,8.60E-09,0,2.04E-09,0,2.90E-09,0,0,0,0,0,0,0
14,36061002400,0,5,1,0,0,1.95E-14,0,0,1.30E-08,7.28E-12,2.55E-08,0,0,0,1,2,0,0
15,36063022717,0,0,0,0,0,0,0,1.79E-12,4.76E-07,0,3.52E-07,0,0,0,0,3,0,0
16,36029007800,0,5,0,0,0,1.27E-11,0,5.71E-12,1.75E-07,1.75E-10,3.15E-07,3.12E-12,2,0,0,6,0,0
17,36081101700,0,3,0,0,0,0,1.22E-08,1.56E-13,1.72E-07,0,3.04E-07,0,1,0,2,0,0,0
18,36115085000,0,0,0,0,0,0,0,0,2.28E-07,0,2.89E-07,0,0,0,0,0,0,0
19,36005022101,0,0,0,0,0,0,0,0,7.92E-10,0,1.41E-08,0,0,0,0,0,0,0
20,36005013800,0,1,0,0,0,0,1.04E-07,0,6.81E-08,0,8.32E-08,0,1,0,0,0,0,0
21,36021001200,0,3,2,0,1,1.79E-12,0,1.61E-12,1.30E-07,0,1.24E-07,0,1,1,3,7,0,0
22,36061015401,0,18,0,3,0,0,0,0,6.90E-09,0,1.05E-08,0,7,0,0,0,0,0
23,36081011700,0,16,1,3,1,0,0,5.36E-14,1.74E-08,0,3.74E-08,0,7,0,0,0,0,0
24,36111953800,0,0,0,0,0,0,0,2.49E-11,6.50E-07,2.23E-12,6.00E-07,0,0,0,3,0,0,0
25,36029007103,0,0,0,0,0,0,2.83E-09,0,7.88E-09,0,3.96E-08,0,0,0,0,0,0,0
26,36001014202,0,12,3,0,1,0,4.04E-09,0,3.84E-07,0,3.94E-07,9.02E-13,1,1,2,2,0,0
27,36055005000,0,0,0,0,0,0,0,0,1.69E-08,0,5.46E-08,0,0,0,1,0,0,0
28,36055014901,2.30E-13,0,2,0,0,0,1.09E-07,0,4.03E-07,0,3.58E-07,2.45E-13,0,1,6,0,0,0
29,36005025400,0,5,0,1,0,0,0,0,5.93E-09,0,2.66E-08,0,2,0,1,0,0,0
30,36091061500,0,3,0,0,0,0,0,4.03E-12,1.98E-06,0,7.42E-07,0,1,0,3,2,0,0
31,36001002500,0,3,0,0,3,0,5.95E-08,1.30E-12,7.44E-08,3.24E-12,8.74E-08,0,2,0,1,2,0,0
32,36101961200,0,0,0,0,0,1.53E-11,0,0,2.34E-07,0,2.65E-07,0,0,0,1,0,0,0
33,36029010902,0,5,0,0,0,1.04E-11,1.74E-08,0,1.78E-07,0,1.70E-07,0,3,0,0,1,0,0
